"","author_id","possibly_sensitive","id","text","created_at","twitter","sexe","age","majo","num_deptmt","groupe_sigle","parti_ratt_financier","nb_mandats","age_group"
"157557","865478836053344257",FALSE,"1344745848555638784","Je participe ce soir aux contrôles avec la compagnie de gendarmerie de #BagnolsSurCeze<U+0001F4CD>

Merci aux femmes et aux hommes engagés cette nuit pour combattre et limiter la propagation du virus et assurer la protection de tous : Hôpitaux, sapeurs-pompiers, gendarmerie, police. https://t.co/OnLcgqqhhO","2020-12-31T20:42:49.000Z","anthonycellier","M",42,TRUE,"30","LREM","En marche !",1,2
"568574","829686286097211392",FALSE,"1245029673320493056","Bonne nouvelle pour nos entrepreneurs! #COVID19 https://t.co/be1cNzV1cA","2020-03-31T16:46:20.000Z","DinoCinieri","M",62,FALSE,"42","LR","Les R<e9>publicains",1,4
"1648597","28214411",FALSE,"876875683900903425","Donner l'immunité parlementaire à M. #Ferrand, est-ce là un signe de moralisation de la vie politique ?","2017-06-19T18:53:49.000Z","phdumont","M",30,FALSE,"62","LR","Les R<e9>publicains",2,1
"594286","789381772190416896",FALSE,"1135865545927090176","Pour un Big Bang car le pire serait de continuer comme avant. Il y a du taf, faisons converger nos efforts.

<U+0001F4E2> Rendez vous le dimanche 30 juin à 15h au Cirque Romanès à Paris 

<U+2B07><U+FE0F> Pour signer l'appel :

https://t.co/rcdnioLDS0","2019-06-04T11:07:04.000Z","elsafaucillon","F",36,FALSE,"92","GDR","Parti communiste fran<e7>ais",1,2
"927645","1946847096",FALSE,"878309476238991361","PETR UCCSA : le contrat de ruralité est signé ! Encore de belles avancées pour le Sud de l'Aisne https://t.co/shr9iOlvDY","2017-06-23T17:51:11.000Z","JKrabal","M",69,TRUE,"2","LREM","En marche !",2,5
"852670","374055885",FALSE,"997196274557472771","Quelles solutions pour assurer la présence des médecins dans nos territoires ? 
Débat de qualité avec des professionnels et élus de tous horizons, organisé par l’association Audace53 à #Mayenne. https://t.co/xlpDfKRC51","2018-05-17T19:24:53.000Z","guillaumegarot","M",51,FALSE,"53","NG","Parti socialiste",1,3
"442922","491343921",FALSE,"1181944270347014158","Nous avons vu à Afrin ce que donnait la folie guerriere de la #Turquie, cette nouvelle offensive est terrible. 
N'abandonnons pas les #Kurdes et les populations de #Syrie. La France se doit de convoquer conseil de sécurité de l'#ONU.

https://t.co/74DvFaBJD5","2019-10-09T14:47:28.000Z","Clem_Autain","F",44,FALSE,"93","LFI","La France Insoumise",2,2
"259927","436780101",FALSE,"920254673843613696","Suppression des gares #TGV non rentables ok, mais quelles compensations ? Garder en tête la dette abyssale de la SNCF de +40 milliards € ... https://t.co/MSIMh9McmM","2017-10-17T11:46:26.000Z","BertrandPancher","M",59,TRUE,"55","UAI","Union des d<e9>mocrates, radicaux et lib<e9>raux",2,4
"1732359","91376641",FALSE,"1500089729039142916","<U+0001F3AF> 1000 jeunes mobilisés en @ServiceCivique pour des missions en faveur de la nature en 2022-2023 : c’est notre objectif !

<U+2B07><U+FE0F>  https://t.co/gnv7IQnjlI","2022-03-05T12:43:56.000Z","sarahelhairy","F",28,TRUE,"44","MODEM","Mouvement D<e9>mocrate",1,1
"942426","615337066",FALSE,"1351273896000024577","<U+0001F1EB><U+0001F1F7><U+0001F4E3> Début de l’examen des articles &amp; des amendements du Projet de loi confortant le respect des principes de la République par la Commission spéciale dont je suis membre. 

<U+0001F3A5> A suivre en direct sur @AssembleeNat https://t.co/Niolukxrub","2021-01-18T21:02:56.000Z","moreaujb23","M",40,TRUE,"23","LREM","En marche !",1,2
"643946","87886754",FALSE,"918791849388773376","Aux côtés de Frédéric Roy, boulanger niçois pour sauver le vrai croissant ! #CroissantTradition #Nice06 https://t.co/4oGgBzGGAO","2017-10-13T10:53:41.000Z","ECiotti","M",52,FALSE,"6","LR","Les R<e9>publicains",1,3
"181756","472903732",FALSE,"1052995059124248577","Retrouvons nous demain à 8h30 dans @LaMatinaleLCI avec @chrisjaku pour parler du crédit d’impôt #solidarité #réfugiés et de l’actualité politique <U+0001F4FA> @LaREM_AN @enmarchefr @LCI @LCIPolitique https://t.co/nyyxAMGaDi","2018-10-18T18:49:20.000Z","Aurelientache","M",33,TRUE,"95","LREM","En marche !",1,1
"439932","491343921",FALSE,"1478769733298176004","""L'arrogance de classe du #président est décomplexée. Cette oligarchie sûre d'elle-même qui pense qu'on peut traiter les démunis de gens ""qui ne sont rien"", d'illettrées des ouvrières ou dire aux chômeurs qu'il suffit de traverser la rue."" 

https://t.co/2tfMyPYWGI","2022-01-05T16:45:53.000Z","Clem_Autain","F",44,FALSE,"93","LFI","La France Insoumise",2,2
"443930","491343921",FALSE,"1072254130226454530","Après 4 semaines, on a vu un président redescendre. C’est très insuffisant mais il faut dire à celles et ceux qui se battent que leur mobilisation porte des fruits. @BFMTV  #macron20h https://t.co/HN3UQgFSyK","2018-12-10T22:18:00.000Z","Clem_Autain","F",44,FALSE,"93","LFI","La France Insoumise",2,2
"1453847","581648342",FALSE,"883361434834436098","Des hommes imposent le respect : Jean Normand est de ceux-là. Salut fraternel à l'élu, le militant, le citoyen. La ZUP ne t'oubliera pas !","2017-07-07T16:25:52.000Z","mustapha_laabid","M",48,TRUE,"35","LREM","En marche !",1,3
"1968907","531550143",FALSE,"943060794916384768","""La refondation commence par le rassemblement de toutes les sensibilités de la droite. Ensuite, nous trancherons une ligne politique"". #LesRépublicains #TV5Monde https://t.co/cgbr0ib2pR","2017-12-19T10:09:49.000Z","DubyMuller","F",38,FALSE,"74","LR","Les R<e9>publicains",1,2
"468448","738667035371134976",FALSE,"1010088324046999552","#1andaction
Réunion des maires de la circonscription dans ce magnifique cadre à @Viavino34400 #SaintChristol 
<U+27A1><U+FE0F>bilan de la première année de mandature
<U+27A1><U+FE0F>perspectives https://t.co/q7ewkbxV3o","2018-06-22T09:13:17.000Z","CoDubost","F",34,TRUE,"34","LREM","En marche !",1,1
"1167068","733339165379731458",FALSE,"1283001910337953792","Cette cérémonie nationale du #14juillet nous permet de célébrer nos armées. 

Elle nous permet aussi de mettre à l'honneur les femmes et les hommes de notre pays qui ont œuvré sans relâche pour soigner, protéger et assurer la sécurité des Français.
@EmmanuelMacron https://t.co/Ia47btvpT7","2020-07-14T11:34:27.000Z","LauStmartin","M",32,TRUE,"94","LREM","En marche !",1,1
"1562641","386751099",FALSE,"1064805529053274112","Gilets jaunes. Les députés vendéens soutiennent le gouvernement @StephaneBuchou @LeguilleBalloy @platombe @HenrietPierre #LaRochesurYon #FontenayleComte https://t.co/878fmUvhfY via @ouestfrance","2018-11-20T08:59:55.000Z","PGallerneau","F",63,TRUE,"85","MODEM","Mouvement D<e9>mocrate",1,4
"1614166","739098870844690432",FALSE,"1453296344345493510","Pour un futur décarboné, je soutiens les projets innovantes autour de l'hydrogène vert en l'Indre-et-Loire, comme Hy'Touraine.

J'ai rencontré aujourd'hui le cabinet de la Ministre @AgnesRunacher pour lever les freins au développement des technologies de l'hydrogène. https://t.co/BHSG4qz7i8","2021-10-27T09:43:44.000Z","Chalumeau_P","M",54,TRUE,"37","LREM","En marche !",1,3
"1661615","1255991936",FALSE,"1117924443261677568","Chacun d’entre nous ce soir à ressenti une très grande tristesse et une grande émotion en voyant #NotreDame en flamme. 

Cette profonde tristesse chacun la ressent car Notre Dame de Paris c’est notre Histoire, notre culture, c’est une part de la vie de chacun d’entre nous.","2019-04-15T22:55:31.000Z","PA_Anglade","M",31,TRUE,"999","LREM","En marche !",1,1
"101037","800435764966215680",FALSE,"1154379190822756352","Je serai demain matin à 7h35 l’invitée de @GuillaumeDaret pour #Les4V dans @telematin sur @France2tv https://t.co/5PiplnaMpZ","2019-07-25T13:13:41.000Z","ademontchalin","F",32,TRUE,"91","LREM","En marche !",1,1
"696778","865234300190564352",FALSE,"1485252889480204290","Aujourd’hui se tient la 29ème fête de la Truffe Noire d’Aups à laquelle j’étais présent ce matin avec Antoine Faure Maire d’Aups et Rolland Balbis, Maire de Villecroze et Président de la communauté de communes Lacs et Gorges du Verdon. #directcirco https://t.co/oKlEZHyxQz","2022-01-23T14:07:38.000Z","famatras","M",33,TRUE,"83","LREM","En marche !",2,1
"1047592","48664671",FALSE,"1070231980992815105","Je me rendrai à l’ @Elysee le 11 décembre à l’invitation du Président de la République @EmmanuelMacron et y porterai la parole des  #GilletsJaunes de la Loire dont je recevrai certains représentants le 10 décembre #DebatPublicCitoyen #LaRepubliqueEnsemble https://t.co/tP74wjU3WM","2018-12-05T08:22:42.000Z","JeanMichelMIS","M",50,TRUE,"42","LREM","En marche !",1,3
"593737","789381772190416896",FALSE,"1321539013564600321","- « Nous serons prêts »
6 mois plus tard : 
- « nous sommes surpris » 
= nous ne sommes pas prêts. 

Le respect du confinement s’impose mais quelle inconséquence ! #macron20h","2020-10-28T19:47:08.000Z","elsafaucillon","F",36,FALSE,"92","GDR","Parti communiste fran<e7>ais",1,2
"399809","522248478",FALSE,"1319919500951756800","<U+26A0><U+FE0F> Les mesures en vigueur depuis minuit en #IlleEtVilaine <U+26A0><U+FE0F>
<U+0001F449>Interdiction de circuler de 21h à 6h
<U+0001F449>Évènement avec une jauge de 1000 personnes
<U+0001F449>Fermerure des débits de boisson, salle de jeux, salons, foires, salles de sport
Ensemble, prudence, vigilance!https://t.co/vWA6AhIam6 https://t.co/O14KMnxbdB","2020-10-24T08:31:46.000Z","ChrisCloarec","F",53,TRUE,"35","LREM","En marche !",2,3
"832610","843748232",FALSE,"912936628498386945","« Nous ferons baisser les dépenses publiques de 3 points de PIB. » #PolMat @LCP","2017-09-27T07:07:08.000Z","GillesLeGendre","M",59,TRUE,"75","LREM","En marche !",1,4
"939045","615337066",FALSE,"1461339332715769856","<U+0001F44F> Très heureux que la fonderie Fraisse, entreprise familiale spécialisée dans la fabrication de pièces en alu de petites &amp; moyennes séries dans le sport auto, soit lauréate de l'appel à projets Soutien à l'investissement &amp; la modernisation de l'industrie du plan #FranceRelance https://t.co/2HeOwky9S8","2021-11-18T14:23:41.000Z","moreaujb23","M",40,TRUE,"23","LREM","En marche !",1,2
"561271","1035417716730023936",FALSE,"1184498243436195844","#Consultation #citoyenne sur les #retraites
Nous voulons permettre à chacun.e de s’exprimer sur la mise en place d’un système universel en parallèle aux discussions avec les partenaires sociaux.
Prenez 7 minutes pour co-construire le projet de loi<U+0001F447>
<U+0001F449><U+0001F449> <U+0001F449>https://t.co/TW2zJgwhT2 https://t.co/4qkSxFL7Je","2019-10-16T15:56:02.000Z","_DidierParis","M",63,TRUE,"21","LREM","En marche !",1,4
"1923848","888033440393822208",FALSE,"1028923583236661249","J'ai félicité les unités de la @SecCivileFrance de #Brignoles en opération #FeuxDeForêts en #Suède; dans le cadre #EUCivPro <U+0001F1EA><U+0001F1FA>, et leur témoigner la reconnaissance de la Nation tout entière. L'@Uiisc7 incarne le visage d'une France solidaire et engagée. #FiersDeNosSapeurs https://t.co/5QMR93lQ9n","2018-08-13T08:37:53.000Z","VGB83","F",48,TRUE,"83","LREM","En marche !",1,3
"1296087","843864760689016833",FALSE,"1407406769433948164","La réforme pour <U+2198><U+FE0F> le nombre de parlementaires et pour instaurer une dose de proportionnelle a été bloquée par @lesRepublicains durant l'été 2018! Pendant 3 semaines, ils n'ont pas arrêté de faire des appels au règlement et des suspensions de séance ... Inacceptable <U+0001F61E>! #DirectAN https://t.co/FthHpedINn","2021-06-22T18:34:56.000Z","verdierjouclas","F",52,TRUE,"81","LREM","En marche !",1,3
"1053098","865482011523166209",FALSE,"1148843091757096962","<U+0001F5DE><U+FE0F>Les effets sur l'#emploi de l'intervention de @Bpifrance
pendant la crise de 2008: les principaux résultats de notre travail de recherche avec @juliensauvagnat, B Vallée et T Martin dans @Le_Figaro <U+0001F447>

https://t.co/uTYpOtHBKS

@marclandre @adeguigne @HECParis @HECKnowledge","2019-07-10T06:35:12.000Z","jnbarrot","M",34,TRUE,"78","MODEM","Mouvement D<e9>mocrate",1,1
"918027","3060130660",FALSE,"943136215691390976","#hiphop très heureuse de remettre à Julien notre belle médaille de #AssembleeNationale @isavalentin43 @laurentwauquiez https://t.co/mxcczVpLgy","2017-12-19T15:09:31.000Z","isavalentin43","F",55,FALSE,"43","LR","Les R<e9>publicains",1,4
"1001230","118977224",FALSE,"1413506454049353728","Accueillir le handicap [#SurLeTerrain] à #Toulouse La Juncasse avec L’Esperluette et Emmanuelle DARAN, sa Présidente. 
<U+27A1><U+FE0F> Soutien des familles confrontées au handicap de leur enfant.
<U+0001F465> Rencontres &amp; Ateliers réguliers : tout un programme ! #circo3102 https://t.co/iYV9W5oJw3","2021-07-09T14:32:54.000Z","jeanluclagleize","M",59,TRUE,"31","MODEM","Mouvement D<e9>mocrate",2,4
"1641315","2529855122",FALSE,"1256292168169291776","#masques: le 2 avril dernier je demandais le plafonnement de leur prix... 1 mois après @BrunoLeMaire et le @gouvernementFR réagissent. Gouverner c’est prévoir. Décidément ce gouvernement n’est pas à la hauteur. @Republicains_An @JulienDive @francoisbaroin @ChJacob77 https://t.co/OJ7rEuQ1bD","2020-05-01T18:39:28.000Z","CORDIERPierre08","M",45,FALSE,"8","LR","Les R<e9>publicains",1,3
"193965","37509285",FALSE,"1202292384463310848","""Pour sauver notre système par répartition, il faut accepter de le transformer. Aujourd'hui personne ne peut dire que notre système est égalitaire, juste ou lisible."" @franceinfo #Retraites #greve5decembre https://t.co/3LdTOHzCR7","2019-12-04T18:23:36.000Z","auroreberge","F",31,TRUE,"78","LREM","En marche !",2,1
"755120","455806353",FALSE,"1004370370126893057","Echange avec Mounir Mahjoubi, Secrétaire d’État chargé du numérique, sur l'opportunité d'inclure la protection de certains droits et libertés numériques dans la Constitution. #DirectAN #ReformesAN https://t.co/4yr8GYz8AS","2018-06-06T14:32:11.000Z","Fderugy","M",44,TRUE,"44","LREM","En marche !",1,2
"1337985","217749896",FALSE,"1093806466555883520","<U+0001F58A> « Emmanuel #Macron s’est livré au Palais de l’Elysée à une énième séance de « bla-bla » avec les élus d’Outre-mer : aucune réponse concrète n’aura été apportée aux légitimes inquiétudes de nos compatriotes ultramarins. » 

Mon communiqué : https://t.co/iOgRXbneWZ","2019-02-08T09:39:18.000Z","MLP_officiel","F",49,FALSE,"62","NI","Front National",1,3
"1957552","866255052104769538",FALSE,"1497209219623399427","<U+0001F534> Le #Parlement uni pour écouter le message du Président de la République @EmmanuelMacron.
Soutien plein et entier au peuple #ukrainien. Nous répondrons à l'agression russe dans l'unité pour préserver nos valeurs de liberté, de souveraineté et le droit international. #directAN https://t.co/l04AH5Magf","2022-02-25T13:57:49.000Z","bru_vincent","M",62,TRUE,"64","MODEM","Mouvement D<e9>mocrate",1,4
"1613479","2157820581",FALSE,"913494297735024641","Avec les associations .@avrille49 et @LPretrot pour défendre la candidature au label ""ville sportive"" devant le jury #COS https://t.co/FJ2aEgyCWu","2017-09-28T20:03:07.000Z","phbolo","M",50,TRUE,"49","MODEM","Mouvement D<e9>mocrate",1,3
"1142361","1299738390",FALSE,"1123294820846510087","La prime à la conversion est un succès :
<U+2705> 278 329 demandes enregistrées entre janvier et mars 2019, soit un bond de 64% par rapport au 1er trimestre 2018 <U+0001F33F><U+0001F30E> https://t.co/Xbe5ktDcWB","2019-04-30T18:35:29.000Z","LMaillart","F",50,TRUE,"35","LREM","En marche !",1,3
"31040","1979469114",FALSE,"1317173165320175616","La barbarie islamiste s'abat sur  un professeur d’histoire à #Conflans parce qu’il avait montré les caricatures de Mahomet et évoqué la #Libertedexpression   La République ne cédera pas devant l’obscurantisme.Pensées pour la victime et hommage aux forces de l’ordre","2020-10-16T18:38:49.000Z","agnesfirmin","F",49,TRUE,"76","UAI","Union des d<e9>mocrates, radicaux et lib<e9>raux",1,3
"1805845","1911591212",FALSE,"1106143624968970242","<U+0001F399><U+FE0F>Je serai l'invité de @SoMabrouk à 19h06 sur @Europe1. https://t.co/i9mM1kOzuH","2019-03-14T10:42:46.000Z","StanGuerini","M",35,TRUE,"75","LREM","En marche !",1,2
"1324439","1189104433",FALSE,"1292153353246511104","76eme anniversaire de la libération du Mans en memoire avec toutes celles et tous ceux qui ont donné leur vie pour notre liberté. Les élus de notre groupe citoyen, écologiste et solidaire présents aux côtés des anciens combattants et de leurs familles https://t.co/NZUuqrixoh","2020-08-08T17:39:01.000Z","MKaramanli72","F",53,FALSE,"72","NG","Parti socialiste",2,3
"1339004","217749896",FALSE,"1043784843761475584","""Le #PlanSanté va aggraver la désertification rurale en matière de santé et augmenter en réalité les coûts."" @CNEWS @Europe1 #LeGrandRDV","2018-09-23T08:51:13.000Z","MLP_officiel","F",49,FALSE,"62","NI","Front National",1,3
"1560475","3791340735",FALSE,"1323195144854753280","<U+0001F3DB> Rentrée scolaire, merci à nos institutrices et instituteurs, à nos élèves, à tous les enfants de la partie qui rendent en ce jour, hommage à #SamuelPaty, lui à jamais Grande figure de l'école de la République. #VivelaRepublique #LiberteExpression https://t.co/gzKkwcYeEW","2020-11-02T09:28:00.000Z","patrice_anato","M",41,TRUE,"93","LREM","En marche !",1,2
"6483","3023497329",FALSE,"1438093436180107274","<U+0001F399> « Avec Jean-Luc #Melenchon, pour le blocage des prix des produits de première nécessité » 
<U+0001F449> J’étais ce matin l’invité de @Marcfauvelle et @salhiabrakhlia sur @franceinfo 
<U+27A1><U+FE0F> Voir la vidéo : https://t.co/kpgvUVZeGo https://t.co/7WDr9xttCB","2021-09-15T10:52:48.000Z","AQuatennens","M",27,FALSE,"59","LFI","La France Insoumise",1,1
"651824","311601642",FALSE,"1082783137866940416","Je serai demain à 9h en duplex sur @BFMTV et à 10h sur @LCI , invité de @audrey_crespo ! https://t.co/U4Z0BFT1no","2019-01-08T23:36:31.000Z","ericcoquerel","M",59,FALSE,"93","LFI","La France Insoumise",1,4
"1842445","282119887",FALSE,"1235895386226798593","OUI, @agnesbuzyn incarne le mieux la fonction de Maire de #Paris.

Paris, c’est une élection dans 17 arrondissements avec des problématiques différentes. 

Je suis candidat dans le 8eme arrondissement aux côtés de @SophieSegond, les enjeux ne sont pas les mêmes que dans le 20ème. https://t.co/1t7bZHT9BQ","2020-03-06T11:49:56.000Z","sylvainmaillard","M",43,TRUE,"75","LREM","En marche !",1,2
"1169691","733339165379731458",FALSE,"1070390698510376961","Aux agents aussi nous devons un Etat qui se transforme. Et nous le faisons avec eux ! C’est ce à quoi le Gouvernement se consacre depuis plus d’un an. Il faut supprimer les petites tâches et les petites taxes. https://t.co/TbW1g9D2Wr","2018-12-05T18:53:24.000Z","LauStmartin","M",32,TRUE,"94","LREM","En marche !",1,1
"1639859","885051305835802625",FALSE,"1004440164381360128","Bienvenue à @EPhilippePM sur la ville rose #Toulouse pour ces 3 prochains jours.
Déclaration au côté de @jlmoudenc dans la salle des illustres au #Capitole. 
Je crois à la réalité des territoires, je crois à la diversité des territoires.
@gouvernementFR @TlseMetropole https://t.co/iHjGkUM6Wh","2018-06-06T19:09:31.000Z","DeputeCabareP","M",60,TRUE,"31","LREM","En marche !",1,4
"1856609","1145576430",FALSE,"915204633072631808","Minute de silence et vibrant hommage de l'AN pour Laura et Marianne.Ouverture de la session ordinaire vote sur #PJLAntiterrorisme #DirectAN https://t.co/KloxOSeK0u","2017-10-03T13:19:22.000Z","SylvieCharriere","F",56,TRUE,"93","LREM","En marche !",1,4
"1971129","862754226589577216",FALSE,"1000297410520846336","Hier après-midi à Saint-Mards avec de nombreuses personnalités locales,nous avons ensemble épinglé Nathalie Lehoux, Ludovic Léger et Jacques Ferrand, de la Médaille d’Honneur Régionale, Départementale et Communale. https://t.co/db8akEvo1z","2018-05-26T08:47:41.000Z","XavierBatut","M",41,TRUE,"76","LREM","En marche !",1,2
"1424986","858769856463859712",FALSE,"1255897138124423169","<U+0001F534> Quelle déception Monsieur @jwojc ! Vos annonces pour la viticulture, patrimoine mondial, ne sont pas à la hauteur des enjeux !  
<U+26A0><U+FE0F> La #France doit réagir! Nous @LaREM_AN du GE #Vigne #Vin demandons un plan spécifique pour nos vignerons. @dguillaume26 @BrunoLeMaire @GDarmanin https://t.co/moIQF6yVmX","2020-04-30T16:29:45.000Z","MRobert_11","F",55,TRUE,"11","LREM","En marche !",1,4
"829221","843748232",FALSE,"1476939870304145445","Belle et heureuse #année2022 à toutes et tous !
Une pensée particulière pour les patients et les soignants #Covid. Ensemble, nous sortirons plus forts de la crise, cette invitation à nous réinventer. A nous, en priorité les responsables politiques, de savoir saisir cette chance ! https://t.co/3e2ccZKRpe","2021-12-31T15:34:39.000Z","GillesLeGendre","M",59,TRUE,"75","LREM","En marche !",1,4
"1880846","347374931",FALSE,"1052883654387671040","<U+0001F3DB><U+FE0F>Suite à l'intervention de 80 députés @LaREM_AN menés par @Sach_He, le @gouvernementFR a accepté d'exonérer environ 550 000 retraités, concernés par la suppression de la demi-part des veufs-ves, de leurs taxes d'habitation et audiovisuelle. 
<U+2705>Vote pour ! 
@AssembleeNat https://t.co/o78V61QaVN","2018-10-18T11:26:39.000Z","trudigoz","M",46,TRUE,"69","LREM","En marche !",3,3
"397170","1143094713010073600",FALSE,"1274749685778067456","« Nous savons que le risque terroriste est permanent. C’est pour cela que nous devons défendre nos forces de sécurité. J’ai évidemment une pensée pour nos voisins britanniques touchés par ce drame. » #Reading 

<U+0001F53D> https://t.co/qNJ9xIMY3p","2020-06-21T17:03:03.000Z","ChJacob77","M",58,FALSE,"77","LR","Les R<e9>publicains",1,4
"45675","827581398965944320",FALSE,"878856177005850624","Être et rester soi, simple, individu  parmi les individus, à l'écoute de chacun, voilà la confirmation que j'ai eue ce we. #circo6002 #LREM https://t.co/xCzTmTGJfj","2017-06-25T06:03:35.000Z","ThillAgnes","F",53,TRUE,"60","LREM","En marche !",1,3
"264488","881933353435398145",FALSE,"1362367776527114241","Le gouvernement et LREM sont contre notre ""minimum jeunesse""

Notre compromis: ouvrir le RSA à 18 ans le temps de la crise.

Ils ont voté contre,balayant des milliers de jeunes.

Je voudrais dire aux jeunes qui espéraient que c'est le cœur serré et révolté que je retire ce texte. https://t.co/Pq5QRVGxJd","2021-02-18T11:46:04.000Z","BorisVallaud","M",42,FALSE,"40","NG","Parti socialiste",1,2
"1752939","461022437",FALSE,"1197140706860642304","#AESH Pas payés, pas de contrats, pas un rond, pas de considération... avec @Francois_Ruffin et @Celine_Brulin en solidarité avec les  accompagnants d’élèves en situation de handicap qui manifestent à nouveau contre la précarité qui est leur lot. https://t.co/MYp9s4uumC","2019-11-20T13:12:40.000Z","sebastienjumel","M",46,FALSE,"76","GDR","Parti communiste fran<e7>ais",2,3
"1407108","441892644",FALSE,"1114488443386695680","Après le monde ou Le Nouvel Observateur c’est au tour d’Yves Threard du figaro de le dire.. jean christophe lagarde est un candidat sérieux qui fait des propositions concrètes . #leuropejelagarde https://t.co/g01bwhSWrb","2019-04-06T11:22:05.000Z","MichelZumkeller","M",51,TRUE,"90","UAI","Union des d<e9>mocrates, radicaux et lib<e9>raux",2,3
"1322908","303885267",FALSE,"1053730988428288000","Demain, dimanche 21 octobre de 12h10 à 13h, je serai l'invitée de l'émission #Internationales, proposée conjointement par @TV5MONDE et @RFI, en collaboration avec le journal @lemondefr. 

A suivre en direct à partir de 12h10 à l'adresse suivante :
https://t.co/UDJRS2pTQq https://t.co/DFaF1JeHvh","2018-10-20T19:33:39.000Z","desarnez","F",66,TRUE,"75","MODEM","Mouvement D<e9>mocrate",3,5
"914605","864856599021727744",FALSE,"1000096115834916864","Visite passionnante de la maternité et du centre de PMA de haute technologie de @HopitalFoch de Suresnes avec le Pr Ayoubi, chef de service et le Pr Frydman, père du 1er bébé éprouvette français https://t.co/ytqWOLqnCD","2018-05-25T19:27:49.000Z","iflorennes92","F",50,TRUE,"92","MODEM","Mouvement D<e9>mocrate",2,3
