,X,text,possibly_sensitive,created_at,twitter.x,sexe,Label,sentiment,test
32,480738,"<U+0001F1EA><U+0001F1FA><U+0001F1EB><U+0001F1F7> Heureux d’accueillir le 1er #ForumJAM à #Toulouse, terre européenne, terre progressiste, terre de conquêtes. Ici même les mémés aiment la castagne, disait Nougaro. Les @JeunesMacron sont et seront toujours au rendez-vous ! https://t.co/pwZg31Vj8y",False,2018-06-30,mickaelnogal,M,1,1,True
33,91348,Séance de nuit en Commission Développement Durable et Aménagement du Territoire avec @Elisabeth_Borne pour l’examen des amendements du <U+0001F449>Nouveau Pacte Ferroviaire #ComDDAT #mobilité #transport #SNCF #DirectAN https://t.co/pIclxPo4RP,False,2018-04-03,b_abba,F,0,0,True
34,265759,"Après d’autres, un nouveau maire sortant du Cher déclare sa flamme à @enmarchefr.
Tant critiqués et maintenant si courtisés. Il y a de quoi se réjouir. 
Pas au point d’être naïfs.
Réjouissons-nous donc pour les fabriquants de râteliers qui vont pouvoir écouler quelques produits. https://t.co/AVCi1MBjaa",False,2019-10-16,FCBDeputeduCher,M,-1,1,False
35,400536,"Merci à @I4CE_ pour cet échange sur nos futurs investissements liés à la transition énergétique et écologique.

Nous avons aussi abordé les enjeux du ""Budget Vert"" mis en place par le Parlement cet automne et le financement de l'action climat. https://t.co/XLoKsSE4Qr",False,2020-12-02,LauStmartin,M,1,1,True
36,327033,"@vpecresse prend en otage les franciliens. La très riche région décide la gratuité des transports pendant #Covid, puis se défile. Pitoyable pour un ancien ministre du budget : les contribuables français ne sont pas tous franciliens. Assumez votre part!
https://t.co/BvEaIHMps3",False,2020-07-08,JMaireofficiel,M,-1,-1,True
37,138514,"La législation doit s'adapter au dév du marché, à la vie quotidienne des affaires, à l’évolution des pratiques #TPEPME #Europe #AssembleeNat https://t.co/wv1pMCrjhE",False,2017-10-11,Ch_Hennion,F,0,0,True
38,336300,"En direct du dernier match du @GrenobleSMHGUC qui fête ce soir son titre de champion de France de Nationale 1. 

Bravo aux joueurs et à l’équipe dirigeante. Superbe ambiance après une saison exceptionnelle. Vivement l’an prochain en Proligue, 2ème division du #handball français. https://t.co/x8zdSBhJqc",False,2018-06-02,JCColasRoy,M,1,1,True
39,265186,"<U+0001F4BB> Atelier #SportRelance avec les acteurs sportifs locaux du Cher <U+0001F4CD>

<U+0001F5E3><U+FE0F> Échanges nourris sur l'annonce du Pass'Sport par @EmmanuelMacron ! https://t.co/D5oGKmYusI",False,2021-05-21,FCBDeputeduCher,M,1,0,False
40,387783,"C’est la #rentrée ! Un plaisir de retrouver les commerçants de #Paris12 pour faire le point sur leur activité en période estivale, le #PassSanitaire  et leurs attentes pour la reprise. Merci @KarenGanilsy  @AACParisBercy pour ces remontées de terrain précieuses. https://t.co/vctDW7LJIV",False,2021-09-01,LaetitiaAvia,F,1,1,True
41,226208,"Le Vesúbia Moutain Park est un complexe de 3000 m2 au concept unique en Europe. C’est le premier parc de montagne indoor dédié au canyoning, à la spéléologie, à l’escalade et aux activités aquatiques #1anVMP https://t.co/7NrpREQI9M",False,2017-11-23,ECiotti,M,1,0,False
42,249204,Invité à l’Elysée par le Président de la République. Désigné Porte-parole groupe Majorité Présidentielle sur les budgets de sécurité #Elysee https://t.co/ViPZXhtIYU,False,2017-10-19,famatras,M,0,0,True
43,609998,"CO-RO-NA-RO-GRA-PHIE un mot qui entre désormais dans le quotidien des Cherbourgeois grâce à leur mobilisation, leur travail et leur tenacité. #santé #cherbourg #coro #accèsauxsoins @CHPC50 https://t.co/FnlENMmz1x",False,2019-03-29,Sonia_Krimi,F,1,1,True
44,433149,Ce soir à @ville_albi match @SCA_OFFICIEL / Saint Jean de Luz.  Le second contre le premier en @Itsrugby_fed1 . Victoire de @SCA_OFFICIEL 32/13 qui passe premier! Bravo https://t.co/55RH3b2YJR,False,2018-11-10,verdierjouclas,F,1,1,True
45,234458,Ce #CongresVersailles est une manière pour #Macron d'effacer le gouvernement. #CNews #CongresVersailles,False,2017-07-03,ericcoquerel,M,-1,-1,True
46,203599,Vive le sport et l'escrime pour tous les âges au @CarreauDuTemple avec @BGriveaux et @FlesselLaura !  #circo7505 ! https://t.co/crTNuM1BLH,False,2017-05-28,EliseFajgeles,F,1,1,True
47,600980,"A l’heure où les grandes marques françaises de parfum multiplient les pubs télé... pour notre filière du flaconnage de verre, le patriotisme industriel n’est pas un luxe. Dans la Glass Vallée les communes se mobilisent. https://t.co/zrcKNaH1mL",False,2020-11-23,sebastienjumel,M,-1,-1,True
48,129398,"<U+23F3>J-8 ! Dans 8 petits jours, conclusion de la mission stratégie nationale #IA par un événement hors-norme ! 
La première partie de l'événement sera ouverte à tous et vous ne voulez pas manquer ça ! <U+0001F680> 
Découvrez le programme et inscrivez-vous ici : https://t.co/OD3xMqVquf",False,2018-03-21,VillaniCedric,M,1,1,True
49,509109,@j_gourault Intervention au sujet du maintien des dotations / collectivités Un pacte de modération est prévue pour les 300 plus importantes https://t.co/AIO9tiPX62,False,2017-09-26,TurquoisNicolas,M,0,0,True
50,653829,Après #Champigny voici #Argenteuil=25 jours d'ITT pour une policière après une intervention et çe ne sont pas des #FakeNews...il est urgent que #Macron soit raisonnable et cohérent et cesse de refuser les #peinesplanchers réclamées par l@lesRepublicains  https://t.co/EuQCp6Ttwr,False,2018-01-06,valerieboyer13,F,-1,-1,True
51,29319,"Nous ne pouvons être fragiles sur les valeurs de la République
Le #7janvier2015 c’est la #liberté qui a été visée 
N’oublions jamais 
Que triomphe en permanence l’esprit français <U+0001F1EB><U+0001F1F7>
#CharlieHebdo #HyperCacher https://t.co/otavPFp6DP",False,2021-01-07,AVFreschi,M,-1,1,False
52,100168,"En cette journée mondiale de lutte contre le #SIDA, espoir et vigilance. 
Le #VIH recule mais il tue encore. 
Deux mots d'ordre : prévention et dépistage. Le combat continue. La France est mobilisée. 
#WorldAIDSDay https://t.co/FUWXhBZhYE",False,2019-12-01,BrigBourguignon,F,0,1,False
53,182199,"<U+0001F44B> Inédit dans l’histoire parlementaire <U+0001F609>

@edsassnat innove avec le débat #SansFiltre <U+0001F483>

<U+0001F6A8> À suivre à partir de 16H sur  https://t.co/JEww5kJVpI et @TwitchFR

80H de direct sur le #PJLClimat avec les forces vives qui veulent une #VraieLoiClimat

<U+2B07><U+FE0F> #Thread https://t.co/4EDlVRLjkg",False,2021-03-29,delphinebatho,F,1,1,True
54,104861,"Limitation à #80km sur les routes secondaires : pour nous, c’est toujours NON ! Stop aux mesures idéologiques qui tapent sur les automobilistes sans résoudre aucun problème de sécurité routière.

Notre pétition à signer pour poursuivre la mobilisation : https://t.co/QpBzwc3f7n",False,2018-06-13,BrunoBilde,M,-1,-1,True
55,192409,"#VendrediLecture
« Pour faire de grandes choses, il ne faut pas être un si grand génie; il ne faut pas être au dessus des hommes, il faut être avec eux. »

#Montesquieu | Cahiers 1716 - 1755 https://t.co/UL4iV40Z6B",False,2019-07-19,_DidierParis,M,0,1,False
56,385543,"Après avoir mené la liste lors de ces #Municipales2020, interdit de cumuler (même bénévolement), je laisse la place de Maire comme en 2017 à Régis Nollet à la tête d’#Itancourt.
Je continuerai d’animer la commission « Budget, Relance économique et grands projets ». https://t.co/aLh0JsZzEW",False,2020-05-25,juliendive,M,0,0,True
57,202470,"« Sans unité, aucune victoire n’est possible » Joséphine Baker, 1963.
À cette grande femme, pour ses combats de liberté, d’universalisme et d’humanisme, la patrie reconnaissante <U+0001F1EB><U+0001F1F7><U+0001F1EB><U+0001F1F7> https://t.co/lUvnsWv7Pf",False,2021-11-30,EliseFajgeles,F,1,1,True
58,281142,"Tout n'est pas perdu ! Mes amies d'Egypte <U+0001F1EA><U+0001F1EC> sont de retour en Pologne <U+0001F1F5><U+0001F1F1> ! 

Je parle des cigognes, bien entendu <U+0001F609> https://t.co/088fuWJpKz",False,2021-04-12,fpetitan,M,1,1,True
59,595737,"<U+0001F469><U+200D><U+0001F692> Après-midi d'auditions @AssembleeNat pour préparer mon rapport sur la #SécuritéCivile 
<U+27A1><U+FE0F>@ADepartementsF chef de file des #SDIS
<U+27A1><U+FE0F>@ASFAutoroutes sur la question de la gratuité pour les véhicules d'urgence <U+0001F692>
<U+27A1><U+FE0F>@PompiersFR sur le volontariat et l'avenir de notre modèle <U+0001F468><U+200D><U+0001F692> https://t.co/pA1pwhCDxh",False,2019-05-06,sarahelhairy,F,0,0,True
60,545236,"Les gouvernements populistes et communistes à l’épreuve du coronavirus... un thème de réflexion, si besoin était...",False,2020-04-25,PBertaGard,M,-1,-1,True
61,396772,"#Chlordécone #délégationauxoutremer #santepublique  #pollution #Outremer 
Audition de M. JL VOLATIER adjoint au directeur de l' @ANSES le 7/2/18 au sujet de la pollution au CHLORDECONE aux Antilles. https://t.co/fQRGVNehTY",False,2018-02-08,LaurenceVanceu,F,0,0,True
62,588502,"Lutte contre le chômage de masse, réduction des inégalités par l'École, notre détermination est absolue. Rendez-vous demain matin sur @publicsenat pour faire le point sur les chantiers ! #TDInfos https://t.co/jAZkbMKfNQ",False,2018-10-09,SachaHoulie,M,1,1,True
63,465132,"Une nouvelle fois, notre pays est touché en son coeur à #Paris. Pensées aux victimes et à leurs proches. #Monsigny",False,2018-05-12,M_Orphelin,M,-1,-1,True
64,461991,"""Oublier 300 000 € de revenus"". 
Oui, c'est grave... 
#transparence #confiance
https://t.co/C6Rr77FUd0",False,2021-07-07,M_Orphelin,M,-1,-1,True
65,570507,"<U+0001F3DB><U+0001F1EB><U+0001F1F7> Votre député en direct <U+260E><U+FE0F><U+0001F4BB>

J’organise 2<U+FE0F><U+20E3> nouvelles permanences parlementaires la semaine prochaine.

<U+0001F4C6> Lundi 11 et jeudi 14 mai
<U+23F0> de 14 heures à 17 heures

Nous pourrons échanger par téléphone ou par vidéo sur le #déconfinement et plus largement sur la crise du #COVID19 https://t.co/Urq2m3S0LY",False,2020-05-10,Gauvain_Raphael,M,0,0,True
66,549467,Merci à @imantsliegis ambassadeur de Lettonie en France pour ces 3 ans  de travail pour rapprocher nos 2 pays. Très heureux d’avoir fait votre connaissance. https://t.co/UdfQyndPa3,False,2020-07-02,ChassaingPh,M,1,1,True
67,617280,"La hausse des prix de l’énergie impacte l’ensemble des économies industrialisées

Prime à la conversion &amp; bonus éco prolongés au 1er Juillet
 
Jusqu'à 5K€ (prime conversion) &amp; 6K€ (bonus éco) pr l'achat d'un véhicule peu polluant. Primes cumulables! 

https://t.co/i632o1i7FB https://t.co/fB3MZgyNKc",False,2021-11-03,stelladupont,F,1,1,True
68,124066,"<U+0001F333>Plantation du premier arbre de la Forêt de la Plaine de Pierrelaye-Bessancourt.<U+0001F331>
Aux côtés des élus locaux, des parlementaires, de nombreuses associations, je suis très heureuse de voir se concrétiser un projet qui vise à améliorer notre environnement comme notre cadre de vie. https://t.co/eShmYSlMSR",False,2019-11-25,Cecile_Rilhac,F,1,1,True
69,143387,"Je me réjouis de l’élection de @JoeBiden en tant que 46eme président des États-Unis. Avec @KamalaHarris, première femme élue VP aux USA, ils représentent  le retour de l’Amérique progressiste. #USAelection2020",False,2020-11-07,DipompeoChrist,M,1,1,True
70,539673,"@MonCentreVille  grande cause nationale 2018 retrouvez mon interview ds @libe ""revaloriser les centres villes , c'est un projet de société"" https://t.co/D88jgjCl7w",False,2017-09-13,PatrickVignal,M,0,1,False
71,160030,Merci ... https://t.co/crQVxWB8oY,False,2021-01-12,Cisaacsibille,M,1,1,True
72,220376,"La France a moins vacciné sa population que le Costa-Rica ! 

Notre pays compte à peine 138.000 vaccinés alors que le Royaume-Uni en compte plus de 2 millions, 
l’Italie 700.000
l’Allemagne 600.000
l’Espagne 400.000 https://t.co/CJkevIiJYR",False,2021-01-12,ECiotti,M,-1,-1,True
73,365514,"1<U+FE0F><U+20E3>5<U+FE0F><U+20E3>0<U+FE0F><U+20E3> ans ça se fête 

À l’invitation de Vincent Perrin, Président du Groupe VP industries, j’étais présent à l’anniversaire de l’entreprise Mermier, manufacture de #serrurerie quincaillerie. 

Le Groupe VP industrie ( 4 entreprises Ligériennes) est membre de la French Fab. https://t.co/Ss1IOwKfiw",False,2021-11-20,JeanMichelMIS,M,1,1,True
74,205595,"Ce drame à #Calais ne doit plus arriver. 

La réponse sécuritaire ne peut pas, seule, constituer une politique migratoire. 

La France doit mettre en place une gestion responsable et des conditions d’accueil dignes pour les personnes. https://t.co/w6ygeBAPHX",False,2021-11-25,EmilieCariou,F,-1,-1,True
75,524770,j’ai publié une nouvelle vidéo sur Facebook https://t.co/mFVKvpjBL4,False,2017-05-26,olivier_serva,M,0,0,True
76,108066,"[#Proximité] <U+0001F91D>
Je serai ce samedi 30 novembre, de 10h à 12h, à Epône, pour rencontrer les concitoyens qui le souhaitent. 
Pour être à leur écoute, tout simplement. 
Cette année, je délocalise ma permanence parlementaire un samedi sur deux dans une commune de la circo. https://t.co/hzNFwPfPcW",False,2019-11-27,BrunoMillienne,M,0,0,True
77,228630,A 15 h je serai au rassemblement pour exiger la libération de la reporter Hannah arrêtée hier soir #LiberezHannah https://t.co/5h8H2wiQme,False,2020-11-18,ericcoquerel,M,0,0,True
78,554644,Une page se tourne ! La mairie d'Adissan a un nouveau édile. De nouveaux horizons s'ouvrent à moi dans la 5e. #circo3405 #philippehuppe https://t.co/VB73ARNisd,False,2017-07-17,PhilippeHuppe,M,1,1,True
79,250785,"Demain, vendredi 6 mars à 19h, je tiendrai meeting aux côtés de Marie-George Buffet et de féministes, salariées, étudiantes, élues, pour réclamer l'égalité au boulot ! https://t.co/wq3yIhbSdI",False,2020-03-05,Fabien_Roussel,M,0,0,True
80,363526,"Les propos de Monsieur ODOUL à propos du suicide des agriculteurs donnent la nausée !

S’il était un homme, il présenterait ses excuses et quitterait immédiatement la tête de liste de son parti politique pour les prochaines #ElectionsRegionales https://t.co/ErFoRCjy4x",False,2021-06-04,jmsermier,M,-1,-1,True
81,46398,"C’est l’heure du bilan au #ConseildeParis: explosion de la dette, des dépenses de fonctionnement, des subventions à 2500 asso sur 65000, gros retard  sur le plan climat, la neutralité carbone, la rénovation thermique.
Il est grand temps de tourner la page. Vivement @VillaniParis https://t.co/pcI9fHlGTd",False,2019-12-09,AChristine_Lang,F,-1,-1,True
82,171164,"Visite ce matin #Les Hermites. Discussion avec le maire Guy SAUVAGE de BRANTES: évocation  d’un éco-quartier qui a reçu un  label ministériel. Échange sur le financement en fonds propres des entreprises. Un dialogue riche, constructif : une très belle rencontre
#circo3702 https://t.co/8zbhQc3xx0",False,2018-01-12,LabaronneDaniel,M,1,1,True
83,600010,#DirectAN dévoilement dans l’hémicycle des plaques d’Edgar Faure et de Philippe Séguin https://t.co/7VsaUUVNxz,False,2018-06-20,SebastienHuyghe,M,0,0,True
84,5010,Nous soutenons les mouvements de résistance à la politique d'Emmanuel Macron mais nous ne nous en contentons pas. La @FranceInsoumise est un outil pour montrer que des débouchés positifs sont possibles et pour construire une nouvelle majorité. #fetedelhumanite #fetedelhuma,False,2019-09-15,AQuatennens,M,1,1,True
85,90212,Accueil du deputé de Charentes Maritime @RaphaelGerard17 à la pointe de #NotreMedoc pour évoquer le sujet de la continuité territoriale! https://t.co/ycRxkURoDE,False,2017-12-16,BenoitSimian,M,1,0,False
86,247177,"Poursuite des auditions à la commission @AN_Defense.
« L’armée de l’air française est une armée de l’air mondiale » rappelle le Général Philippe Lavigne, chef d’état-major de @Armee_de_lair https://t.co/WjVDSGDMEO",False,2019-05-15,FGouttefarde,M,0,0,True
87,576073,"#DirectCirco Heureux d’être à Kergloff ce matin, pour inaugurer les travaux réalisés à l’école communale. https://t.co/ny5HEPYmrv",False,2018-10-20,RichardFerrand,M,1,1,True
88,378409,"Toutes mes pensées vont aux victimes de l’attaque terroriste de #Nice et à leurs proches.
La folie fanatique doit cesser, il est temps de retrouver le chemin de la paix.
#NiceAttentat",False,2020-10-30,JAviragnet,M,-1,-1,True
89,506548,"""Les électeurs veulent une union sur un programme sérieux et tirer les leçons de l'élection présidentielle."" #ZENPP #AmoureuxDeLaFrance",False,2018-02-07,dupontaignan,M,0,0,True
90,644353,"Les personnes atteintes de handicap sont les grandes perdantes de la loi #ELAN 

La novlangue @enmarchefr crée les « logements évolutifs » permettant le passage de 100 à 10% de logements accessibles aux personnes handicapées dans la construction neuve

https://t.co/b4w886t6Rq",False,2018-06-03,ugobernalicis,M,-1,-1,True
91,142460,"Invité par #FEHAP fédération des établissements hospitaliers à l’aide à la personne privés non lucratifs à #villerssurmer, j’évoque le plan #masanté2022 et nous abordons différents sujets notamment quand à la juste rémunération des aides soignantes. @LaREM_AN @MinSoliSante https://t.co/Cwf3dAHbyP",False,2019-01-25,christoblanchet,M,0,0,True
92,526279,Finale du challenge handivalides d'escrime à Meylan. Du beau sabre comme on l'aime ! https://t.co/Cx8vNEn4fI,False,2018-03-24,olivierveran,M,1,1,True
93,480649,"<U+0001F3DB> Je préside ce matin la Commission des @AN_AfEco.
<U+27A1><U+FE0F> Au programme : l'examen pour avis du #Budget2019 sur les missions « Énergie », « Recherche » et « Tourisme » #DirectAN https://t.co/pdVv0umYUp",False,2018-10-31,mickaelnogal,M,0,0,True
94,82563,"Propos inacceptables du président du syngof. L'homicide est sévèrement puni. L'#IVG est pris en charge par la sécurité sociale. Il faut cesser d'instrumentaliser le corps des femmes. L'ordre des médecins doit prendre des sanctions. 
https://t.co/8tLWvmh4La",False,2018-09-12,lachaudb,M,-1,-1,True
95,484580,Juste un petit mot et quelques #Voeux https://t.co/Ofdbt1wzAe,False,2018-01-03,MRobert_11,F,0,1,False
96,415988,« Je ne t’aime pas parce que tu es juive »: une petite fille juive battue et insultée dans une école parisienne. https://t.co/P1vCqU0CZT,False,2017-10-04,louis_aliot,M,-1,-1,True
97,593978,L'école Jean-Jaurès de Ramonville est unique en <U+0001F1EB><U+0001F1F7> car elle accueille à la fois des enfants entendants et sourds de manière très inclusive. Interview de Stéphane Aiello Directeur et Marie-Paule Kellerhalls coordinatrice LSF/Français. @jmblanquer @s_cluzel #rentree2018 https://t.co/SgdqwsCeJC,False,2018-09-03,SandrineMorch,F,1,1,True
98,126739,"#DirectAN <U+0001F3E6> : Le #PJLAudiovisuel arrive en commission des affaires culturelles à l'Assemblée !

<U+2705> @franckriester rappelle la volonté du gouvernement de lutter contre le piratage sportif qui pèse sur l'ensemble de l'écosystème du #sport. <U+2935><U+FE0F>

@AN_AfCult https://t.co/UeqVa2Vaxc",False,2020-02-26,CedricRoussel06,M,0,0,True
99,111440,"Salut @JFCesarini, député d’Avignon. Putain de Cancer. https://t.co/DI3n4JcDUw",False,2020-03-29,brunostuder67,M,-1,-1,True
100,17976,Sur le terrain avec @Elisabeth_Borne pour une journée consacrée aux enjeux maritimes et portuaires du #Havre https://t.co/eWSWSFWKdn,False,2017-10-27,agnesfirmin,F,0,0,True
101,667409,Les Députés Les Républicains ont fait adopter deux propositions de loi de loi cette semaine #oppositionconstructive https://t.co/4NYwVRjmkC https://t.co/Gw1G8bKrrR,False,2020-06-27,DubyMuller,F,1,0,False
